Time[s], 通道 0, 通道 1
93.6025547, 1, 1
93.6029725, 0, 1
93.6057267, 0, 0
93.6066708, 0, 1
93.8057972, 1, 1
93.8060066, 0, 1
93.8061097, 1, 1
93.8063192, 0, 1
93.8064223, 1, 1
93.8067358, 0, 1
93.8069431, 1, 1
93.8071526, 0, 1
93.8072556, 1, 1
93.8074651, 0, 1
93.8075682, 1, 1
93.8079860, 0, 1
93.8107268, 0, 0
93.8116709, 0, 1
94.0108107, 1, 1
94.0110201, 0, 1
94.0111232, 1, 1
94.0113326, 0, 1
94.0114357, 1, 1
94.0117494, 0, 1
94.0119566, 1, 1
94.0121661, 0, 1
94.0122691, 1, 1
94.0124786, 0, 1
94.0125816, 1, 1
94.0129994, 0, 1
94.0157399, 0, 0
94.0166840, 0, 1
94.0166841, 0, 0
94.0166842, 0, 1
94.2158242, 1, 1
94.2160337, 0, 1
94.2161367, 1, 1
94.2163462, 0, 1
94.2164492, 1, 1
94.2167628, 0, 1
94.2169701, 1, 1
94.2171795, 0, 1
94.2172826, 1, 1
94.2174920, 0, 1
94.2175951, 1, 1
94.2180129, 0, 1
94.2207531, 0, 0
94.2216970, 0, 1
94.2216971, 0, 0
94.2216973, 0, 1
94.4208376, 1, 1
94.4210471, 0, 1
94.4211502, 1, 1
94.4213596, 0, 1
94.4214627, 1, 1
94.4217763, 0, 1
94.4219836, 1, 1
94.4221930, 0, 1
94.4222961, 1, 1
94.4225055, 0, 1
94.4226086, 1, 1
94.4230263, 0, 1
94.4257987, 0, 0
94.4267427, 0, 1
94.4267428, 0, 0
94.4267429, 0, 1
94.6258511, 1, 1
94.6262689, 0, 1
94.6263720, 1, 1
94.6267897, 0, 1
94.6269970, 1, 1
94.6274149, 0, 1
94.6275179, 1, 1
94.6280399, 0, 1
94.6508528, 1, 1
94.6510622, 0, 1
94.6511653, 1, 1
94.6513747, 0, 1
94.6514778, 1, 1
94.6517914, 0, 1
94.6519987, 1, 1
94.6522081, 0, 1
94.6523112, 1, 1
94.6525207, 0, 1
94.6526237, 1, 1
94.6530415, 0, 1
94.6557949, 0, 0
94.6567387, 0, 1
94.6567388, 0, 0
94.6567389, 0, 1
94.6567391, 0, 0
94.6567392, 0, 1
94.8358649, 1, 1
94.8360744, 0, 1
94.8361774, 1, 1
94.8363869, 0, 1
94.8364900, 1, 1
94.8368036, 0, 1
94.8370108, 1, 1
94.8372202, 0, 1
94.8373234, 1, 1
94.8375328, 0, 1
94.8376359, 1, 1
94.8380537, 0, 1
94.8407981, 0, 0
94.8417420, 0, 1
94.8417421, 0, 0
94.8417422, 0, 1
94.8417424, 0, 0
94.8417425, 0, 1
95.0408784, 1, 1
95.0410878, 0, 1
95.0411909, 1, 1
95.0414003, 0, 1
95.0415034, 1, 1
95.0418171, 0, 1
95.0420243, 1, 1
95.0422338, 0, 1
95.0423368, 1, 1
95.0425463, 0, 1
95.0426494, 1, 1
95.0430671, 0, 1
95.0457918, 0, 0
95.0467359, 0, 1
95.2458919, 1, 1
95.2461014, 0, 1
95.2462044, 1, 1
95.2464139, 0, 1
95.2465169, 1, 1
95.2468306, 0, 1
95.2470378, 1, 1
95.2472472, 0, 1
95.2473503, 1, 1
95.2475597, 0, 1
95.2476628, 1, 1
95.2480806, 0, 1
95.2508309, 0, 0
95.2517748, 0, 1
95.2517749, 0, 0
95.2517751, 0, 1
95.4509054, 1, 1
95.4511148, 0, 1
95.4512179, 1, 1
95.4514273, 0, 1
95.4515304, 1, 1
95.4518440, 0, 1
95.4520513, 1, 1
95.4522607, 0, 1
95.4523638, 1, 1
95.4525732, 0, 1
95.4526763, 1, 1
95.4530941, 0, 1
95.4558245, 0, 0
95.4567685, 0, 1
95.4567686, 0, 0
95.4567687, 0, 1
95.6559188, 1, 1
95.6564408, 0, 1
95.6566481, 1, 1
95.6568575, 0, 1
95.6570647, 1, 1
95.6575867, 0, 1
95.6577940, 1, 1
95.6581076, 0, 1
95.6809205, 1, 1
95.6811299, 0, 1
95.6812330, 1, 1
95.6814424, 0, 1
95.6815455, 1, 1
95.6818591, 0, 1
95.6820664, 1, 1
95.6822759, 0, 1
95.6823789, 1, 1
95.6825884, 0, 1
95.6826914, 1, 1
95.6831092, 0, 1
95.6858272, 0, 0
95.6867710, 0, 1
95.6867711, 0, 0
95.6867712, 0, 1
95.6867714, 0, 0
95.6867715, 0, 1
95.8659326, 1, 1
95.8661421, 0, 1
95.8662452, 1, 1
95.8664547, 0, 1
95.8665577, 1, 1
95.8668713, 0, 1
95.8670786, 1, 1
95.8672880, 0, 1
95.8673911, 1, 1
95.8676005, 0, 1
95.8677036, 1, 1
95.8681214, 0, 1
95.8708565, 0, 0
95.8718004, 0, 1
95.8718005, 0, 0
95.8718007, 0, 1
96.0709461, 1, 1
96.0711556, 0, 1
96.0712586, 1, 1
96.0714681, 0, 1
96.0715712, 1, 1
96.0718848, 0, 1
96.0720920, 1, 1
96.0723015, 0, 1
96.0724045, 1, 1
96.0726140, 0, 1
96.0727171, 1, 1
96.0731348, 0, 1
96.0759671, 0, 0
96.0769110, 0, 1
96.0769111, 0, 0
96.0769112, 0, 1
96.2759596, 1, 1
96.2761691, 0, 1
96.2762721, 1, 1
96.2764816, 0, 1
96.2765846, 1, 1
96.2768982, 0, 1
96.2771055, 1, 1
96.2773149, 0, 1
96.2774180, 1, 1
96.2776274, 0, 1
96.2777305, 1, 1
96.2781484, 0, 1
96.2808957, 0, 0
96.2818397, 0, 1
96.2818399, 0, 0
96.2818400, 0, 1
96.4809731, 1, 1
96.4811825, 0, 1
96.4812856, 1, 1
96.4814950, 0, 1
96.4815981, 1, 1
96.4819118, 0, 1
96.4821190, 1, 1
96.4823285, 0, 1
96.4824315, 1, 1
96.4826410, 0, 1
96.4827440, 1, 1
96.4831618, 0, 1
96.4858958, 0, 0
96.4868399, 0, 1
96.6859866, 1, 1
